drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR
A-83-01	635	444	191	mo	scale+nzv+pca	glm	0.03269131744676176	2.0525902985062968e-4	-0.014326863922388237
ABT-737	551	386	165	panel	scale+nzv	glm	0.16372031036699017	0.2304038457589705	0.48000400598221105
ABT-737	551	386	165	panel	scale+nzv+pca	glm	0.16985951615615832	0.17219245886172527	0.4149607919571743
ABT-737	551	386	165	mo	scale+nzv	glm	0.14929963824037307	0.36703115510796674	0.6058309624870346
ABT-737	551	386	165	mo	scale+nzv+pca	glm	0.15583730683022712	0.3083887417836255	0.5553275986151107
ACETALAX, OXYPHENISATIN ACETATE	532	372	160	panel	scale+nzv	glm	0.16721513609277203	0.009412282865050206	0.097016920509003
ACETALAX, OXYPHENISATIN ACETATE	532	372	160	panel	scale+nzv+pca	glm	0.16092149149379864	0.0791893123053217	0.2814059564140775
ACETALAX, OXYPHENISATIN ACETATE	532	372	160	mo	scale+nzv	glm	0.15740407806953502	0.11303240338788245	0.3362029199574008
ACETALAX, OXYPHENISATIN ACETATE	532	372	160	mo	scale+nzv+pca	glm	0.15906265945862222	0.10089423118193099	0.3176385228241861
ACY-1215	642	449	193	panel	scale+nzv	glm	0.14016843731265122	0.17354838176595982	0.416591384651627
ACY-1215	642	449	193	panel	scale+nzv+pca	glm	0.1420006248441995	0.178926348128582	0.4229968653886007
ACY-1215	642	449	193	mo	scale+nzv	glm	0.12987444338921714	0.29254077502361975	0.54087038652862085
ACY-1215	642	449	193	mo	scale+nzv+pca	glm	0.13332767693977968	0.29023610655613935	0.5387356555455926
AFATINIB	669	468	201	panel	scale+nzv	glm	0.10678910519778381	0.0907576455364587	0.30126009615689014
AFATINIB	669	468	201	panel	scale+nzv+pca	glm	0.1073808561781255	0.07887417712069025	0.2808454683997772
AFATINIB	669	468	201	mo	scale+nzv	glm	0.10332871076190146	0.1687097545363947	0.4107429299895431
AFATINIB	669	468	201	mo	scale+nzv+pca	glm	0.10661740422718215	0.09267411635263374	0.30442423745923014
AGI-5198	552	386	166	panel	scale+nzv	glm	0.019186738895828618	0.0469989306791527	0.2167923676681278
AGI-5198	552	386	166	panel	scale+nzv+pca	glm	0.019569859065646036	0.004093004939410189	0.06397659681016324
AGI-5198	552	386	166	mo	scale+nzv	glm	0.019029843140300987	0.0601858383601702	0.24532802196277986
AGI-5198	552	386	166	mo	scale+nzv+pca	glm	0.01966198555704638	0.0050242837692254915	0.07088218231139255
AGI-6780	668	468	200	panel	scale+nzv	glm	0.01325512899020437	0.012201788299354734	0.11046170512605141
AGI-6780	668	468	200	panel	scale+nzv+pca	glm	0.013147903572573161	0.026069626242326734	0.161460912428757
AGI-6780	668	468	200	mo	scale+nzv	glm	0.013207183988431731	0.020242891603315195	0.1422775161552773
AGI-6780	668	468	200	mo	scale+nzv+pca	glm	0.013176820825986917	0.0199193914272965	0.1411360741529128
AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE	652	456	196	panel	scale+nzv	glm	0.11043831512674553	0.08529061135359584	0.2920455638313923
AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE	652	456	196	panel	scale+nzv+pca	glm	0.11195088554113461	0.07011842194696075	0.2647988329788497
AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE	652	456	196	mo	scale+nzv	glm	0.1040415421590472	0.18692155556777232	0.4323442558514827
AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE	652	456	196	mo	scale+nzv+pca	glm	0.10631438765497932	0.15733922491078553	0.39666008736799513
AKT INHIBITOR VIII, KIN001-102	646	452	194	panel	scale+nzv	glm	0.06372488937168819	0.08349181039074069	0.2889494945327655
AKT INHIBITOR VIII, KIN001-102	646	452	194	panel	scale+nzv+pca	glm	0.0656618883442794	0.016511390572523998	0.12849665588070375
AKT INHIBITOR VIII, KIN001-102	646	452	194	mo	scale+nzv	glm	0.06373560437146578	0.07879511323818508	0.2807046726333302
AKT INHIBITOR VIII, KIN001-102	646	452	194	mo	scale+nzv+pca	glm	0.06558427432423487	0.021753911677199138	0.14749207326903754
ALECTINIB	637	446	191	panel	scale+nzv	glm	0.0706998465827203	NA	NA
ALECTINIB	637	446	191	panel	scale+nzv+pca	glm	0.0706998465827203	NA	NA
ALECTINIB	637	446	191	mo	scale+nzv	glm	0.06975239455401447	0.052193473677003735	0.2284589102595995
ALECTINIB	637	446	191	mo	scale+nzv+pca	glm	0.06788237354357438	0.1241097677735454	0.3522921625207484
ALISERTIB	665	465	200	panel	scale+nzv	glm	0.14462257339150297	0.08084758945805179	0.2843371053134849
ALISERTIB	665	465	200	panel	scale+nzv+pca	glm	0.1430654660123988	0.09569173893928135	0.3093408135685968
ALISERTIB	665	465	200	mo	scale+nzv	glm	0.1439217814293236	0.12418986673463485	0.35240582676033444
ALISERTIB	665	465	200	mo	scale+nzv+pca	glm	0.14212577234704027	0.11197782785344892	0.3346308829941566
ALPELISIB	584	409	175	panel	scale+nzv	glm	0.045268941517622	0.08993977351891454	0.2998996057331762
ALPELISIB	584	409	175	panel	scale+nzv+pca	glm	0.04713531037942101	0.01441762321782258	0.12007340762143207
ALPELISIB	584	409	175	mo	scale+nzv	glm	0.044802361069857626	0.11909777157617024	0.34510544993692904
ALPELISIB	584	409	175	mo	scale+nzv+pca	glm	0.04680736026932664	0.035483141716255454	0.1883696942617242
ALVOCIDIB	634	444	190	panel	scale+nzv	glm	0.13534984669633168	0.09577954750241989	0.3094827095370917
ALVOCIDIB	634	444	190	panel	scale+nzv+pca	glm	0.13935792358163301	0.04597146801733581	0.21440958005027622
ALVOCIDIB	634	444	190	mo	scale+nzv	glm	0.12950244499276972	0.1854858083044271	0.43068063376988186
ALVOCIDIB	634	444	190	mo	scale+nzv+pca	glm	0.13292472313101392	0.12730298116460315	0.35679543321713514
AMG-319, AMG319	549	384	165	panel	scale+nzv	glm	0.0346917678700905	0.019390262889540436	0.13924892419527138
AMG-319, AMG319	549	384	165	panel	scale+nzv+pca	glm	0.035008902866375494	2.0818320174166525e-4	0.014428555081561883
AMG-319, AMG319	549	384	165	mo	scale+nzv	glm	0.03431107390023466	0.05798021964432031	0.24079082134566573
AMG-319, AMG319	549	384	165	mo	scale+nzv+pca	glm	0.03489090445556165	0.024799418056036818	0.15747830979546618
AMUVATINIB	636	445	191	panel	scale+nzv	glm	0.11121237509480698	NA	NA
AMUVATINIB	636	445	191	panel	scale+nzv+pca	glm	0.11121773891586657	0.0013283719314519662	0.03644683705689653
AMUVATINIB	636	445	191	mo	scale+nzv	glm	0.10931039089810633	0.03879193571827296	0.19695668487835838
AMUVATINIB	636	445	191	mo	scale+nzv+pca	glm	0.10894111364370501	0.05018669200716522	0.22402386481615127
APABETALONE	532	372	160	panel	scale+nzv	glm	0.019818431560506267	NA	NA
APABETALONE	532	372	160	panel	scale+nzv+pca	glm	0.019889071315413585	0.0015407212459012884	-0.039252022188688424
APABETALONE	532	372	160	mo	scale+nzv	glm	0.019818431560506267	NA	NA
APABETALONE	532	372	160	mo	scale+nzv+pca	glm	0.01984086355257382	1.5672873250071462e-4	-0.012519134654628275
APITOLISIB, GDC0980	634	444	190	panel	scale+nzv	glm	0.1998116128046172	0.0670976958045349	0.2590322292776227
APITOLISIB, GDC0980	634	444	190	panel	scale+nzv+pca	glm	0.1997107191388892	0.05278885839051756	0.2297582607666535
APITOLISIB, GDC0980	634	444	190	mo	scale+nzv	glm	0.19529723906264865	0.10121932129197886	0.31814984094287846
APITOLISIB, GDC0980	634	444	190	mo	scale+nzv+pca	glm	0.1955348544651433	0.1007034957799726	0.31733814107348113
APO866, FK866	632	442	190	panel	scale+nzv	glm	0.3121705747734216	0.15648340664092347	0.3955798359887969
APO866, FK866	632	442	190	panel	scale+nzv+pca	glm	0.31220417691240376	0.14861557751663018	0.38550690981697094
APO866, FK866	632	442	190	mo	scale+nzv	glm	0.295269810345713	0.2438647722350941	0.4938266621346949
APO866, FK866	632	442	190	mo	scale+nzv+pca	glm	0.29432766429249324	0.2620789156501216	0.5119364371190251
APR-246	535	374	161	panel	scale+nzv	glm	0.07697394851860793	0.08712977920400314	0.2951775384476318
APR-246	535	374	161	panel	scale+nzv+pca	glm	0.07859387531616323	0.05252746836445906	0.22918871779487546
APR-246	535	374	161	mo	scale+nzv	glm	0.07198235948236156	0.20213594251302192	0.4495953097097677
APR-246	535	374	161	mo	scale+nzv+pca	glm	0.07514287689626768	0.16275198559720902	0.40342531600930676
AR-12	613	429	184	panel	scale+nzv	glm	0.13075038409742126	0.029073301243925504	0.1705089476946166
AR-12	613	429	184	panel	scale+nzv+pca	glm	0.13170329489213817	0.012609451109178457	0.11229181229804093
AR-12	613	429	184	mo	scale+nzv	glm	0.1282080538793356	0.06420577586125928	0.25338858668310077
AR-12	613	429	184	mo	scale+nzv+pca	glm	0.1301172114031567	0.03549224643533739	0.18839385986633797
AR-42	628	440	188	panel	scale+nzv	glm	0.1908630421153238	0.10163717641624319	0.318805860071993
AR-42	628	440	188	panel	scale+nzv+pca	glm	0.19549855020928072	0.05893181065656907	0.24275874990732893
AR-42	628	440	188	mo	scale+nzv	glm	0.1760126210092322	0.24350260144901925	0.493459827593918
AR-42	628	440	188	mo	scale+nzv+pca	glm	0.18830894308045512	0.12794459644586112	0.3576934391987937
ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE	636	445	191	panel	scale+nzv	glm	0.07699358959471009	0.0868960937182123	0.2947814338085292
ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE	636	445	191	panel	scale+nzv+pca	glm	0.07809938643595743	0.06837879168311183	0.26149338745580514
ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE	636	445	191	mo	scale+nzv	glm	0.07411433122883579	0.27584941381113054	0.5252136839526657
ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE	636	445	191	mo	scale+nzv+pca	glm	0.07476783270840541	0.2513575208473726	0.5013556829710546
AS601245	613	429	184	panel	scale+nzv	glm	0.08412509088774023	NA	NA
AS601245	613	429	184	panel	scale+nzv+pca	glm	0.08390615826817148	0.0060221233110872635	0.07760234088664635
AS601245	613	429	184	mo	scale+nzv	glm	0.08361223212406206	0.027646548351938877	0.16627251231619397
AS601245	613	429	184	mo	scale+nzv+pca	glm	0.08364227955923748	0.013309298388659872	0.11536593253062133
AS605240, KIN001-173	635	444	191	panel	scale+nzv	glm	0.1566615175601712	0.04392690497232612	0.20958746377664414
AS605240, KIN001-173	635	444	191	panel	scale+nzv+pca	glm	0.15670054404625097	0.029728695899946967	0.1724201145456845
AS605240, KIN001-173	635	444	191	mo	scale+nzv	glm	0.1494659441641392	0.1160852473151825	0.3407128517024013
AS605240, KIN001-173	635	444	191	mo	scale+nzv+pca	glm	0.1543716294624049	0.05944452688401834	0.2438124830356689
AST-1306	635	444	191	panel	scale+nzv	glm	0.1550072506499167	0.04587396970794832	0.21418209474171346
AST-1306	635	444	191	panel	scale+nzv+pca	glm	0.15751373034685595	0.015091454971793655	0.12284728312744102
AST-1306	635	444	191	mo	scale+nzv	glm	0.15402016885473133	0.0570535055152872	0.23885875641325607
AST-1306	635	444	191	mo	scale+nzv+pca	glm	0.1578274902724733	0.011985541261089815	0.10947849679772652
AT-7519	627	439	188	panel	scale+nzv	glm	0.20253195772036525	0.06046831674073292	0.24590306370749618
AT-7519	627	439	188	panel	scale+nzv+pca	glm	0.2062617230147176	0.026533479332532934	0.16289100445553442
AT-7519	627	439	188	mo	scale+nzv	glm	0.1826191530870203	0.24288199354303092	0.49283059314842753
AT-7519	627	439	188	mo	scale+nzv+pca	glm	0.19277858938882964	0.15381568468561468	0.39219342764204335
AT13148	545	382	163	panel	scale+nzv	glm	0.06724838816547295	0.012338775776994933	0.1110800422082875
AT13148	545	382	163	panel	scale+nzv+pca	glm	0.06747622475246987	0.00171876071721778	0.041457939133750725
AT13148	545	382	163	mo	scale+nzv	glm	0.06810360309421173	0.0028378302486055584	0.05327128915847221
AT13148	545	382	163	mo	scale+nzv+pca	glm	0.06707197999919587	0.01398671399350919	0.11826543871101645
AT7867	643	450	193	panel	scale+nzv	glm	0.11800648120180098	0.11882453466599917	0.3447093480977839
AT7867	643	450	193	panel	scale+nzv+pca	glm	0.11887838703715536	0.12231733698334832	0.3497389554844417
AT7867	643	450	193	mo	scale+nzv	glm	0.11567361323954845	0.192801702498194	0.43909190666441805
AT7867	643	450	193	mo	scale+nzv+pca	glm	0.11597529282898213	0.18390841012008968	0.42884543849747275
AUY922	662	463	199	panel	scale+nzv	glm	0.17827991386125672	6.788248582953599e-4	0.02605426756397807
AUY922	662	463	199	panel	scale+nzv+pca	glm	0.1770347960136403	0.0011603773606418484	0.03406431212635665
AUY922	662	463	199	mo	scale+nzv	glm	0.17248082891628816	0.04440554686039853	0.21072623676324342
AUY922	662	463	199	mo	scale+nzv+pca	glm	0.17411793669260972	0.026449996311070468	0.1626345483317443
AVAGACESTAT	677	474	203	panel	scale+nzv	glm	0.015800838795482795	1.905175985155374e-5	0.004364832167627266
AVAGACESTAT	677	474	203	panel	scale+nzv+pca	glm	0.01576611746724991	7.292497229609583e-4	0.027004624103307905
AVAGACESTAT	677	474	203	mo	scale+nzv	glm	0.015741844865186386	0.002811523755171222	0.053023803665629476
AVAGACESTAT	677	474	203	mo	scale+nzv+pca	glm	0.015735125442885238	0.004921935855925282	0.07015650971880857
AXITINIB	655	458	197	panel	scale+nzv	glm	0.09001915501496012	0.04095763687720185	0.20237993200216728
AXITINIB	655	458	197	panel	scale+nzv+pca	glm	0.09049675801443458	0.026567746385809197	0.16299615451233565
AXITINIB	655	458	197	mo	scale+nzv	glm	0.0893580842904467	0.053220595041519464	0.23069589298797555
AXITINIB	655	458	197	mo	scale+nzv+pca	glm	0.0895405423535267	0.05399921266430145	0.2323773066895764
AZ-628	237	166	71	panel	scale+nzv	glm	0.20182031195327169	0.005256601095820465	0.07250242131005326
AZ-628	237	166	71	panel	scale+nzv+pca	glm	0.18460869509984082	0.00551246599928554	0.07424598305151289
AZ-628	237	166	71	mo	scale+nzv	glm	0.18214759792476087	0.04801763941005676	0.21912927556594705
AZ-628	237	166	71	mo	scale+nzv+pca	glm	0.1819678062530449	0.02809196641076599	0.16760658224176636
AZ6102	546	382	164	panel	scale+nzv	glm	0.05463439774967709	2.279777277558075e-5	-0.0047747013284163385
AZ6102	546	382	164	panel	scale+nzv+pca	glm	0.05354445447359438	0.002956472215983686	0.05437345138929187
AZ6102	546	382	164	mo	scale+nzv	glm	0.05488996781370469	7.886168739271967e-4	0.028082323157587883
AZ6102	546	382	164	mo	scale+nzv+pca	glm	0.053441826532689946	0.008222855739232243	0.09067996327321842
AZ960	535	374	161	panel	scale+nzv	glm	0.12018226076683534	0.10914895908635604	0.330376995395194
AZ960	535	374	161	panel	scale+nzv+pca	glm	0.12385734665102745	0.052525801996563454	0.22918508240407676
AZ960	535	374	161	mo	scale+nzv	glm	0.1130942616342446	0.22593063400391983	0.4753216111265296
AZ960	535	374	161	mo	scale+nzv+pca	glm	0.11760303565922123	0.1562078794868506	0.3952314252268544
AZD3759	557	390	167	panel	scale+nzv	glm	0.02625449460432907	0.12611024928429654	0.355120049116206
AZD3759	557	390	167	panel	scale+nzv+pca	glm	0.02770015311061584	0.03912728713620526	0.197806185788527
AZD3759	557	390	167	mo	scale+nzv	glm	0.024405390293474702	0.29109856205366397	0.539535505832252
AZD3759	557	390	167	mo	scale+nzv+pca	glm	0.02683740770363373	0.08351621311950998	0.28899171808117613
AZD4547	558	391	167	panel	scale+nzv	glm	0.03429635126266245	8.38278118822376e-5	0.009155752939121806
AZD4547	558	391	167	panel	scale+nzv+pca	glm	0.0343168344026974	NA	NA
AZD4547	558	391	167	mo	scale+nzv	glm	0.0343168344026974	NA	NA
AZD4547	558	391	167	mo	scale+nzv+pca	glm	0.034247689384811264	0.00444597645393912	0.06667815574788433
AZD5363	552	386	166	panel	scale+nzv	glm	0.0981680576973069	0.09827469975791983	0.3134879579153238
AZD5363	552	386	166	panel	scale+nzv+pca	glm	0.1013651017824429	0.033214286339101284	0.18224787060237846
AZD5363	552	386	166	mo	scale+nzv	glm	0.099124215532296	0.0761117922027786	0.27588365700559103
AZD5363	552	386	166	mo	scale+nzv+pca	glm	0.10168706372416485	0.026902937418228474	0.16402114930163267
AZD5582	526	368	158	panel	scale+nzv	glm	0.1915424328722654	0.02897891208087858	0.1702319361367854
AZD5582	526	368	158	panel	scale+nzv+pca	glm	0.1929193329306421	0.016626688608678962	0.12894451755960376
AZD5582	526	368	158	mo	scale+nzv	glm	0.18851544382784877	0.0608271244353887	0.24663155604137257
AZD5582	526	368	158	mo	scale+nzv+pca	glm	0.189873672152426	0.07228212586572244	0.26885335383015485
AZD6482	675	472	203	panel	scale+nzv	glm	0.11484642104811293	NA	NA
AZD6482	675	472	203	panel	scale+nzv+pca	glm	0.11484642104811293	NA	NA
AZD6482	675	472	203	mo	scale+nzv	glm	0.11549210076783151	1.338946802335304e-6	-0.0011571286887530289
AZD6482	675	472	203	mo	scale+nzv+pca	glm	0.1140795854034213	0.018076586894413577	0.13444919819178386
AZD6738	552	386	166	panel	scale+nzv	glm	0.09566393768202587	0.11432813274854899	0.338124433823628
AZD6738	552	386	166	panel	scale+nzv+pca	glm	0.095790004638679	0.13323310928441895	0.3650111084397555
AZD6738	552	386	166	mo	scale+nzv	glm	0.09310741894535259	0.16009648418759415	0.4001205870579445
AZD6738	552	386	166	mo	scale+nzv+pca	glm	0.09427374961651198	0.16863646944126176	0.41065370988371913
AZD7762	669	468	201	panel	scale+nzv	glm	0.14414841886006288	0.13538709765754886	0.3679498575316328
AZD7762	669	468	201	panel	scale+nzv+pca	glm	0.1431342003350956	0.14638307525913016	0.382600411995505
AZD7762	669	468	201	mo	scale+nzv	glm	0.1383859734992698	0.20221595881097956	0.4496842879298537
AZD7762	669	468	201	mo	scale+nzv+pca	glm	0.13864186595474196	0.20142511392825965	0.4488040930386661
AZD8055	655	458	197	panel	scale+nzv	glm	0.10398685505338404	0.041607850494692324	0.20398002474431737
AZD8055	655	458	197	panel	scale+nzv+pca	glm	0.10205160112570168	0.03624095243996254	0.19037056610716516
AZD8055	655	458	197	mo	scale+nzv	glm	0.09704313087495468	0.1428340803907457	0.3779339630024612
AZD8055	655	458	197	mo	scale+nzv+pca	glm	0.10058980891305833	0.06882737803755133	0.2623497246759587
AZD8186	552	386	166	panel	scale+nzv	glm	0.09495599967973586	NA	NA
AZD8186	552	386	166	panel	scale+nzv+pca	glm	0.09495599967973586	NA	NA
AZD8186	552	386	166	mo	scale+nzv	glm	0.09495599967973586	NA	NA
AZD8186	552	386	166	mo	scale+nzv+pca	glm	0.09495599967973586	NA	NA
AZD8931	584	409	175	panel	scale+nzv	glm	0.06927562653166713	0.1563232317172941	0.39537732827932115
AZD8931	584	409	175	panel	scale+nzv+pca	glm	0.07172777720918978	0.130021139058805	0.3605844409549655
AZD8931	584	409	175	mo	scale+nzv	glm	0.06720639205805143	0.22023486459122837	0.46929187569275943
AZD8931	584	409	175	mo	scale+nzv+pca	glm	0.07031972234438491	0.14832082679705186	0.38512443027812693
BAM7	637	446	191	panel	scale+nzv	glm	0.03843659027964319	0.060821319881026514	0.24661978809703514
BAM7	637	446	191	panel	scale+nzv+pca	glm	0.039493848232219964	0.00543913161224686	0.07375046855611739
BAM7	637	446	191	mo	scale+nzv	glm	0.0379974702089075	0.08712331819552577	0.29516659396944933
BAM7	637	446	191	mo	scale+nzv+pca	glm	0.038893373037770934	0.03187173488212673	0.17852656632032873
BAY-61-3606	614	430	184	panel	scale+nzv	glm	0.11469783322997278	0.01977777969864141	0.14063349422751825
BAY-61-3606	614	430	184	panel	scale+nzv+pca	glm	0.11303749527335147	0.04476839203942116	0.21158542492199495
BAY-61-3606	614	430	184	mo	scale+nzv	glm	0.11491723865279972	0.019708307016014674	0.1403862778764886
BAY-61-3606	614	430	184	mo	scale+nzv+pca	glm	0.11564383309191434	0.01673009870889387	0.12934488280907702
BDP-00009066	552	386	166	panel	scale+nzv	glm	0.055867486478103884	0.05853848650526896	0.24194728042544508
BDP-00009066	552	386	166	panel	scale+nzv+pca	glm	0.056936445398997185	0.02222706809419928	0.1490874511627296
BDP-00009066	552	386	166	mo	scale+nzv	glm	0.0553687784306538	0.07570766758970418	0.27515026365552364
BDP-00009066	552	386	166	mo	scale+nzv+pca	glm	0.055900301413844375	0.0575883274955129	0.23997568105021164
BELINOSTAT	621	435	186	panel	scale+nzv	glm	0.2089538202055044	0.032989288452535875	0.18162953628894138
BELINOSTAT	621	435	186	panel	scale+nzv+pca	glm	0.21107764078919397	0.010043235930007593	0.10021594648561472
BELINOSTAT	621	435	186	mo	scale+nzv	glm	0.19693906224855295	0.13777906298289222	0.37118602207369317
BELINOSTAT	621	435	186	mo	scale+nzv+pca	glm	0.2015091286078746	0.09365471937348895	0.3060305856830146
BEXAROTENE	610	427	183	panel	scale+nzv	glm	0.058728228813244236	8.29816707250355e-5	0.009109427573949721
BEXAROTENE	610	427	183	panel	scale+nzv+pca	glm	0.055695649226064785	1.8470576056932515e-4	0.013590649747871702
BEXAROTENE	610	427	183	mo	scale+nzv	glm	0.05806506195825036	0.001251049069302147	0.03537017202816728
BEXAROTENE	610	427	183	mo	scale+nzv+pca	glm	0.05533900971262846	0.007781344416667772	0.08821192899300963
BI-2536	271	190	81	panel	scale+nzv	glm	0.16379488462872893	NA	NA
BI-2536	271	190	81	panel	scale+nzv+pca	glm	0.16743244025934031	0.010823797591621461	-0.10403748166704854
BI-2536	271	190	81	mo	scale+nzv	glm	0.16379488462872893	NA	NA
BI-2536	271	190	81	mo	scale+nzv+pca	glm	0.1686339648236302	0.0017227717267149234	-0.041506285388058076
BIBR-1532	550	385	165	panel	scale+nzv	glm	0.033298133414157424	NA	NA
BIBR-1532	550	385	165	panel	scale+nzv+pca	glm	0.033298133414157424	NA	NA
BIBR-1532	550	385	165	mo	scale+nzv	glm	0.033298133414157424	NA	NA
BIBR-1532	550	385	165	mo	scale+nzv+pca	glm	0.033298133414157424	NA	NA
BICALUTAMIDE	672	470	202	panel	scale+nzv	glm	0.011526094703059793	NA	NA
BICALUTAMIDE	672	470	202	panel	scale+nzv+pca	glm	0.011526094703059793	NA	NA
BICALUTAMIDE	672	470	202	mo	scale+nzv	glm	0.011412088803992361	0.019373506271422522	0.13918874333588374
BICALUTAMIDE	672	470	202	mo	scale+nzv+pca	glm	0.0115259973244783	2.9833523989361517e-4	0.01727238373513092
BIX02189	640	448	192	panel	scale+nzv	glm	0.07190285698784375	0.07755635591607772	0.27848941796067894
BIX02189	640	448	192	panel	scale+nzv+pca	glm	0.07222337010846087	0.07196008841782739	0.2682537761483096
BIX02189	640	448	192	mo	scale+nzv	glm	0.06572105430186553	0.25094881543797565	0.5009479168915424
BIX02189	640	448	192	mo	scale+nzv+pca	glm	0.06702741915566095	0.2368962862417596	0.4867199258729394
BLEOMYCIN (50 UM)	646	452	194	panel	scale+nzv	glm	0.23811474638628	0.12008518349550829	0.3465330914869578
BLEOMYCIN (50 UM)	646	452	194	panel	scale+nzv+pca	glm	0.23408141170604185	0.1451668814909053	0.3810077184138207
BLEOMYCIN (50 UM)	646	452	194	mo	scale+nzv	glm	0.22263358426577395	0.22704633118748674	0.47649378924335073
BLEOMYCIN (50 UM)	646	452	194	mo	scale+nzv+pca	glm	0.21784746836089822	0.25318587887738553	0.5031757932148421
BLEOMYCIN	603	422	181	panel	scale+nzv	glm	0.2633064051804227	0.04812445726731761	0.21937287267872846
BLEOMYCIN	603	422	181	panel	scale+nzv+pca	glm	0.26422904096305794	0.03218995202017617	0.17941558466358537
BLEOMYCIN	603	422	181	mo	scale+nzv	glm	0.25888303150044595	0.06963962086253861	0.2638931997277281
BLEOMYCIN	603	422	181	mo	scale+nzv+pca	glm	0.2618899282547575	0.043224752421197096	0.2079056334522879
BMS-345541	663	464	199	panel	scale+nzv	glm	0.08304987421492221	0.01930673656141764	0.1389486831942557
BMS-345541	663	464	199	panel	scale+nzv+pca	glm	0.08190054048702276	0.0445763974467366	0.211131232759951
BMS-345541	663	464	199	mo	scale+nzv	glm	0.08014490655948171	0.0929618926959865	0.304896527851641
BMS-345541	663	464	199	mo	scale+nzv+pca	glm	0.08090197674198107	0.0649154792758248	0.25478516298211873
BMS-509744, KIN001-127	238	167	71	panel	scale+nzv	glm	0.06702203391008317	NA	NA
BMS-509744, KIN001-127	238	167	71	panel	scale+nzv+pca	glm	0.06617278539351948	0.06508641221317729	0.2551203876862398
BMS-509744, KIN001-127	238	167	71	mo	scale+nzv	glm	0.06680679847038558	0.022137621301176944	0.14878716779741774
BMS-509744, KIN001-127	238	167	71	mo	scale+nzv+pca	glm	0.06702203391008317	NA	NA
BMS-536924	673	471	202	panel	scale+nzv	glm	0.13183081525291568	NA	NA
BMS-536924	673	471	202	panel	scale+nzv+pca	glm	0.13183081525291568	NA	NA
