drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR	run
lee011	172	120	52	mo	scale+nzv+pca	glm	0.18878445186810527	4.4290779567807923e-4	0.021045374686093837	iter_2
ljm716	38	27	11	panel	scale+nzv	glm	0.16794899174018957	NA	NA	iter_2
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.17038481702288644	NA	NA	iter_2
ljm716	38	27	11	mo	scale+nzv	glm	0.17391978612552597	0.008303743395920903	-0.0911248780296627	iter_2
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.18349577428313962	0.07027792209960206	0.26509983421270195	iter_2
lka136	115	80	35	panel	scale+nzv	glm	0.2197439490112641	NA	NA	iter_2
lka136	115	80	35	panel	scale+nzv+pca	glm	0.2197439490112641	NA	NA	iter_2
lka136	115	80	35	mo	scale+nzv	glm	0.21890273453692133	0.018010824171339625	0.13420441189223112	iter_2
lka136	115	80	35	mo	scale+nzv+pca	glm	0.21761312909715527	0.021655308099126715	0.14715742624525177	iter_2
llm871	63	44	19	panel	scale+nzv	glm	0.26798245516583513	NA	NA	iter_2
llm871	63	44	19	panel	scale+nzv+pca	glm	0.26798245516583513	NA	NA	iter_2
llm871	63	44	19	mo	scale+nzv	glm	0.26798245516583513	NA	NA	iter_2
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2500939068868162	0.2693442249832281	0.5189838388459009	iter_2
bgj398	63	44	19	panel	scale+nzv	glm	0.17660874250935735	0.12109811715432055	0.3479915475328683	iter_3
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.16522302506042258	0.12860621005110093	0.35861707997682	iter_3
bgj398	63	44	19	mo	scale+nzv	glm	0.18441321963059226	0.2656321047849393	0.515395095809942	iter_3
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.16885996534609102	0.1504362283538691	0.387861094148239	iter_3
binimetinib	173	121	52	panel	scale+nzv	glm	0.1258975818545444	NA	NA	iter_3
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.12406982032121763	0.03509032653990557	0.18732412161786738	iter_3
binimetinib	173	121	52	mo	scale+nzv	glm	0.11119446679841187	0.22519425245655292	0.47454636491764735	iter_3
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.11725681038350089	0.14722662759435592	0.3837012217785551	iter_3
bkm120	170	119	51	panel	scale+nzv	glm	0.22796133943379726	NA	NA	iter_3
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.22796133943379726	NA	NA	iter_3
bkm120	170	119	51	mo	scale+nzv	glm	0.21185175985622745	0.17098959070195643	0.4135088762069763	iter_3
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.22197715896929876	0.05479379971626565	0.23408075469005488	iter_3
byl719	141	99	42	panel	scale+nzv	glm	0.16849603146307224	7.606505201393551e-4	-0.02757989340333561	iter_3
byl719	141	99	42	panel	scale+nzv+pca	glm	0.16972612832404288	1.240703206057264e-4	-0.011138685766540252	iter_3
byl719	141	99	42	mo	scale+nzv	glm	0.1717776979619089	0.020803513907319472	0.14423423278583858	iter_3
byl719	141	99	42	mo	scale+nzv+pca	glm	0.16162094208021677	0.08944915774374271	0.2990805205019924	iter_3
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.15709818308855658	0.002452238212833605	-0.049520078885575344	iter_3
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.15489321753007634	0.045466983554409444	0.21322988429019382	iter_3
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.12955479801275935	0.35340405100039834	0.5944779651092195	iter_3
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.13628506370279708	0.3541892247734468	0.595137988010719	iter_3
cgm097	132	92	40	panel	scale+nzv	glm	0.20463245554878698	0.01229392451321348	0.11087797127118389	iter_3
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.20197214512996095	0.010590813826858014	0.10291167973975555	iter_3
cgm097	132	92	40	mo	scale+nzv	glm	0.20045929068238746	0.018935561575247433	0.13760654626596597	iter_3
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.19920328189840203	0.03399505829949426	0.18437748859200317	iter_3
clr457	159	111	48	panel	scale+nzv	glm	0.109592259801411	NA	NA	iter_3
clr457	159	111	48	panel	scale+nzv+pca	glm	0.109592259801411	NA	NA	iter_3
clr457	159	111	48	mo	scale+nzv	glm	0.109592259801411	NA	NA	iter_3
clr457	159	111	48	mo	scale+nzv+pca	glm	0.10940088945049571	0.005500538816394763	0.07416561748138259	iter_3
hdm201	137	96	41	panel	scale+nzv	glm	0.20308817632652532	0.009136629022555597	0.0955857155779858	iter_3
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.20387177806184986	0.0021297509408593203	0.046149224704856315	iter_3
hdm201	137	96	41	mo	scale+nzv	glm	0.19634661706091	0.07023414283877663	0.26501725007775745	iter_3
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.19684733970846488	0.0954911901594102	0.3090164884911648	iter_3
lee011	172	120	52	panel	scale+nzv	glm	0.15938133292322373	2.5903481184458475e-5	0.005089546265086749	iter_3
lee011	172	120	52	panel	scale+nzv+pca	glm	0.1581332052739148	0.0038386698302706416	0.06195699984885196	iter_3
lee011	172	120	52	mo	scale+nzv	glm	0.15829586251833366	0.007089994166865221	0.08420210310238825	iter_3
lee011	172	120	52	mo	scale+nzv+pca	glm	0.1567558635204887	0.019015945225383638	0.13789831480255166	iter_3
ljm716	38	27	11	panel	scale+nzv	glm	0.13074003993714892	NA	NA	iter_3
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.11968605060588858	NA	NA	iter_3
ljm716	38	27	11	mo	scale+nzv	glm	0.1488111159572209	0.2520246228990867	0.5020205403159185	iter_3
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.14242626809666692	0.1168332927315946	0.34180885408601486	iter_3
lka136	115	80	35	panel	scale+nzv	glm	0.16474996835147068	0.04446561574392202	-0.21086871684515468	iter_3
lka136	115	80	35	panel	scale+nzv+pca	glm	0.15804454341718185	0.006047605166801978	-0.07776634983591539	iter_3
lka136	115	80	35	mo	scale+nzv	glm	0.173600433815092	0.048618760680900326	-0.22049662283332216	iter_3
lka136	115	80	35	mo	scale+nzv+pca	glm	0.1669272117384489	0.11131953429152665	-0.3336458216305528	iter_3
llm871	63	44	19	panel	scale+nzv	glm	0.27933667295284037	0.031439213336075335	-0.17731106377233016	iter_3
llm871	63	44	19	panel	scale+nzv+pca	glm	0.26580352164279697	0.006688750235375417	0.08178477997387666	iter_3
llm871	63	44	19	mo	scale+nzv	glm	0.2560932815024615	0.0507662105679611	0.2253135827418336	iter_3
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2928652796123853	0.009747068305803257	0.09872724196392431	iter_3
bgj398	63	44	19	panel	scale+nzv	glm	0.18980811409795212	0.09615630711694519	-0.3100908046313937	iter_4
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.20808635347922527	0.04273892240955121	-0.20673394111647755	iter_4
bgj398	63	44	19	mo	scale+nzv	glm	0.18777204825830981	0.015192283785691868	-0.12325698270561335	iter_4
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.17364416316121836	0.04282505519961996	0.20694215423547702	iter_4
binimetinib	173	121	52	panel	scale+nzv	glm	0.11529631483222227	NA	NA	iter_4
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.11472580686469107	0.014790281208011817	0.12161530005723711	iter_4
binimetinib	173	121	52	mo	scale+nzv	glm	0.10154208378598362	0.20579823658288124	0.4536499053046096	iter_4
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.10912821861141231	0.12526239353421664	0.3539242765539214	iter_4
bkm120	170	119	51	panel	scale+nzv	glm	0.18313232671291907	1.9754026967482674e-5	-0.004444550254804492	iter_4
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.18547739129383772	0.05860450492597317	-0.24208367339821404	iter_4
bkm120	170	119	51	mo	scale+nzv	glm	0.18484727620893823	0.015802597005955942	0.12570838081033398	iter_4
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.18223243690901064	0.00788020119051419	0.08877049729788715	iter_4
byl719	141	99	42	panel	scale+nzv	glm	0.19343327132034432	0.0016832065861508776	-0.04102690076219355	iter_4
byl719	141	99	42	panel	scale+nzv+pca	glm	0.19942812132275303	0.002641984951298394	-0.05140024271633738	iter_4
byl719	141	99	42	mo	scale+nzv	glm	0.18232743943834237	0.13243468579322926	0.36391576744245263	iter_4
byl719	141	99	42	mo	scale+nzv+pca	glm	0.18524558984903522	0.0828457372185162	0.2878293543378024	iter_4
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.17205814766472713	5.8541138770053975e-5	0.007651218123282983	iter_4
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.17519863470768127	2.038562993931361e-4	-0.014277825443432767	iter_4
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.15453245853967618	0.08560772000055902	0.29258796967845246	iter_4
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.15571880593342816	0.10587966554355925	0.3253915572714806	iter_4
cgm097	132	92	40	panel	scale+nzv	glm	0.13710486928207868	NA	NA	iter_4
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.14223462847238724	0.022141627226546563	-0.14880062912013028	iter_4
cgm097	132	92	40	mo	scale+nzv	glm	0.13710486928207868	NA	NA	iter_4
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.13710486928207868	NA	NA	iter_4
clr457	159	111	48	panel	scale+nzv	glm	0.13244114558386336	NA	NA	iter_4
clr457	159	111	48	panel	scale+nzv+pca	glm	0.13244114558386336	NA	NA	iter_4
clr457	159	111	48	mo	scale+nzv	glm	0.13386362089890833	0.010059481173268289	0.10029696492550653	iter_4
clr457	159	111	48	mo	scale+nzv+pca	glm	0.1345682193733022	0.020611724844395725	0.1435678405646464	iter_4
hdm201	137	96	41	panel	scale+nzv	glm	0.193135691396411	0.0026759024805447394	0.05172912603693145	iter_4
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.18901670678022775	4.0021550266572365e-4	-0.02000538684119164	iter_4
hdm201	137	96	41	mo	scale+nzv	glm	0.21318842652621572	0.006567175126307712	0.08103810909879199	iter_4
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.19060304688894417	0.022688297073210205	0.1506263491996344	iter_4
lee011	172	120	52	panel	scale+nzv	glm	0.20517084583539538	0.08606397588002944	0.2933666236640246	iter_4
lee011	172	120	52	panel	scale+nzv+pca	glm	0.20573676480693084	3.150256175001489e-4	-0.0177489610259347	iter_4
lee011	172	120	52	mo	scale+nzv	glm	0.21576349293101382	0.025179466119238998	-0.15868038983831304	iter_4
lee011	172	120	52	mo	scale+nzv+pca	glm	0.20589683212041857	0.003818070441887657	0.061790536831198166	iter_4
ljm716	38	27	11	panel	scale+nzv	glm	0.27399780739911717	NA	NA	iter_4
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.2729428511007129	NA	NA	iter_4
ljm716	38	27	11	mo	scale+nzv	glm	0.27399780739911717	NA	NA	iter_4
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.26246181764209914	0.35437498567149056	0.5952940329547161	iter_4
lka136	115	80	35	panel	scale+nzv	glm	0.18960791758185827	0.0025651805738407247	-0.050647611728893246	iter_4
lka136	115	80	35	panel	scale+nzv+pca	glm	0.1899112401577091	NA	NA	iter_4
lka136	115	80	35	mo	scale+nzv	glm	0.19070142636189533	0.02842579428062368	-0.16859950854205857	iter_4
lka136	115	80	35	mo	scale+nzv+pca	glm	0.18921908258114767	0.013236059455887145	0.11504807454228491	iter_4
llm871	63	44	19	panel	scale+nzv	glm	0.19947328101521566	0.028535063406151487	0.1689232470862181	iter_4
llm871	63	44	19	panel	scale+nzv+pca	glm	0.20493433300329258	NA	NA	iter_4
llm871	63	44	19	mo	scale+nzv	glm	0.21762853512190894	1.8756961500819236e-4	0.013695605682414793	iter_4
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2187414762906849	0.0028883169149297614	-0.05374306387739502	iter_4
bgj398	63	44	19	panel	scale+nzv	glm	0.16228312848128917	0.07563606984119514	0.2750201262475078	iter_5
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.16555407416849843	0.11200842318979261	0.3346765949238049	iter_5
bgj398	63	44	19	mo	scale+nzv	glm	0.17386182503704897	0.0156322484468874	0.12502899042577045	iter_5
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.18989081705821617	0.22576900761528151	-0.4751515627831624	iter_5
binimetinib	173	121	52	panel	scale+nzv	glm	0.1818189569474629	0.003808963045449255	-0.06171679710945194	iter_5
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.17777192028775549	0.001914787338024638	0.04375828307903131	iter_5
binimetinib	173	121	52	mo	scale+nzv	glm	0.17274162645061636	0.04561757384578866	0.2135827096133689	iter_5
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.17450029195006317	0.041948264906613734	0.204812755722425	iter_5
bkm120	170	119	51	panel	scale+nzv	glm	0.14471840130660865	NA	NA	iter_5
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.14471840130660865	NA	NA	iter_5
bkm120	170	119	51	mo	scale+nzv	glm	0.15413511810047326	1.550586598310043e-5	-0.003937748847133401	iter_5
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.15715706415782296	0.009853988426110103	0.09926725757323057	iter_5
byl719	141	99	42	panel	scale+nzv	glm	0.20297091551063118	0.0016444948389951618	0.04055237155821052	iter_5
byl719	141	99	42	panel	scale+nzv+pca	glm	0.20287519843995283	0.0018281582562029986	0.04275696734104278	iter_5
byl719	141	99	42	mo	scale+nzv	glm	0.1957559192951244	0.07395955402862586	0.27195505883992277	iter_5
byl719	141	99	42	mo	scale+nzv+pca	glm	0.1871065549309464	0.2373017808716221	0.48713630625485316	iter_5
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.1849923630477153	1.5860961098218651e-4	0.012594030767875172	iter_5
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.18442535147122147	NA	NA	iter_5
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.18446893695538888	2.300890054057823e-4	0.015168685025597383	iter_5
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.17386041113342812	0.38317977684513455	0.6190151668942648	iter_5
cgm097	132	92	40	panel	scale+nzv	glm	0.13905100705016715	0.0017054589945996895	0.04129720322975503	iter_5
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.13736223523728336	0.04565497688319447	0.2136702526866912	iter_5
cgm097	132	92	40	mo	scale+nzv	glm	0.13708599370486263	0.013435212590912661	0.11591036446717205	iter_5
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.13534154855495606	0.06860613531521363	0.26192772918347845	iter_5
clr457	159	111	48	panel	scale+nzv	glm	0.1073661277759501	0.009932249633662115	0.09966067245238773	iter_5
clr457	159	111	48	panel	scale+nzv+pca	glm	0.10764015359637051	0.033212357869230706	0.182242579737093	iter_5
clr457	159	111	48	mo	scale+nzv	glm	0.10911398914706529	0.0064411901933082005	0.08025702581897862	iter_5
clr457	159	111	48	mo	scale+nzv+pca	glm	0.1057182550950026	0.032851955679345006	0.18125108462943057	iter_5
hdm201	137	96	41	panel	scale+nzv	glm	0.18543974598442783	0.0035349590106372973	-0.05945552127967004	iter_5
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.18633911654745317	0.0027935650041292052	-0.05285418624980622	iter_5
hdm201	137	96	41	mo	scale+nzv	glm	0.16634811772927102	0.1330948940530247	0.36482172914044564	iter_5
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.17292850802250773	0.2070526020317531	0.455030330892077	iter_5
lee011	172	120	52	panel	scale+nzv	glm	0.15906235091093288	NA	NA	iter_5
lee011	172	120	52	panel	scale+nzv+pca	glm	0.15906235091093288	NA	NA	iter_5
lee011	172	120	52	mo	scale+nzv	glm	0.15906235091093288	NA	NA	iter_5
lee011	172	120	52	mo	scale+nzv+pca	glm	0.16159552264872767	9.026261611672288e-4	0.030043737470015756	iter_5
ljm716	38	27	11	panel	scale+nzv	glm	0.16179868810853776	NA	NA	iter_5
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.1576161330902062	NA	NA	iter_5
ljm716	38	27	11	mo	scale+nzv	glm	0.20992972908590207	0.007439545309692228	0.08625279885135455	iter_5
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.1648277331425196	0.10344850324852205	0.32163411393775077	iter_5
lka136	115	80	35	panel	scale+nzv	glm	0.26781145854830857	NA	NA	iter_5
lka136	115	80	35	panel	scale+nzv+pca	glm	0.26781145854830857	NA	NA	iter_5
lka136	115	80	35	mo	scale+nzv	glm	0.26781145854830857	NA	NA	iter_5
lka136	115	80	35	mo	scale+nzv+pca	glm	0.26781145854830857	NA	NA	iter_5
llm871	63	44	19	panel	scale+nzv	glm	0.23125890775566027	NA	NA	iter_5
llm871	63	44	19	panel	scale+nzv+pca	glm	0.23125890775566027	NA	NA	iter_5
llm871	63	44	19	mo	scale+nzv	glm	0.2274114449808803	0.021110751786167538	-0.14529539492415972	iter_5
llm871	63	44	19	mo	scale+nzv+pca	glm	0.24773636918424613	0.1371943810566236	-0.370397598610768	iter_5
bgj398	63	44	19	panel	scale+nzv	glm	0.11982476065815535	0.06648471029370745	0.2578462919913867	iter_6
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.13376258209471983	0.09618239268272254	0.31013286295186865	iter_6
bgj398	63	44	19	mo	scale+nzv	glm	0.1193572849982188	0.08248602740156079	0.28720380812510266	iter_6
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.11577392941607201	0.07252678653913922	0.26930797711753585	iter_6
binimetinib	173	121	52	panel	scale+nzv	glm	0.12916936770826085	NA	NA	iter_6
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.12916936770826085	NA	NA	iter_6
binimetinib	173	121	52	mo	scale+nzv	glm	0.11608727552783024	0.2801864093623184	0.5293263731974049	iter_6
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.12151516652537961	0.2298713817818046	0.47944903981737685	iter_6
bkm120	170	119	51	panel	scale+nzv	glm	0.2089755035031647	NA	NA	iter_6
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.2089755035031647	NA	NA	iter_6
bkm120	170	119	51	mo	scale+nzv	glm	0.2146098626568252	0.0017423309779236792	0.041741238337208914	iter_6
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.20790527259471783	0.01747342224825752	0.13218707292416124	iter_6
byl719	141	99	42	panel	scale+nzv	glm	0.19446169953902415	NA	NA	iter_6
byl719	141	99	42	panel	scale+nzv+pca	glm	0.19446169953902415	NA	NA	iter_6
