Model	Treatment	Treatment target	Treatment type	BestResponse	Day_BestResponse	BestAvgResponse	Day_BestAvgResponse	TimeToDouble	Day_Last	ResponseCategory
X-020	LJM716	ERBB3	single	54	24	46	14	37.72093023255813	55	PD
X-020	LJM716 + trastuzumab	ERBB3,ERBB2	combo	15.099999999999994	9	14.940000000000012	14	14	14	SD
X-020	LLM871	FGFR2/4	single	136.8	25	30.07499999999999	12	18.4	44	PD
X-020	binimetinib	MAP2K1,MAP2K2,MAPK	single	-63.6	155	1.3703703703703667	155	155	155	SD
X-020	everolimus	MTOR	single	141.9	21	46.400000000000006	12	14.424242424242424	44	PD
X-020	trastuzumab	ERBB2	single	16.799999999999997	21	1.5750000000000028	12	33.18940936863544	55	SD-->PD
X-020	untreated	UNKNOWN,Untreated	single	22.099999999999994	46	31.05000000000001	12	58.28925619834711	130	PD
X-023	BYL719	PIK3CA	single	-40.4	24	-8.777777777777771	42	49	49	SD
X-023	BYL719 + HSP990	PIK3CA,HSP90	combo	-34.599999999999994	53	-18.828571428571436	88	112.37254901960785	115	SD-->-->PD
X-023	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	-18.599999999999994	7	-1.4333333333333371	7	7	7	SD
X-023	HSP990	HSP90	single	122.30000000000001	21	55.640000000000015	14	12.463878326996198	64	PD
X-023	LEE011	CDK4,CDK6,CDK4/6	single	-20.599999999999994	42	18.14615384615385	64	91	91	SD-->PD
X-023	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	-58.6	9	-32.16	13	30	30	PR
X-023	LJM716	ERBB3	single	38.5	71	35.160000000000025	14	15.070208728652752	74	PD
X-023	everolimus	MTOR	single	-66.6	21	-41.7375	29	91	91	PR-->PD
X-023	untreated	UNKNOWN,Untreated	single	39.400000000000006	21	17.540000000000006	14	23.42723631508678	35	PD
X-024	BYL719	PIK3CA	single	4.099999999999994	18	15.016666666666666	18	40.24050632911393	122	SD-->PD
X-024	BYL719 + HSP990	PIK3CA,HSP90	combo	-77.6	41	-45.23076923076923	41	41	41	PR
X-024	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	64.9	21	6.6200000000000045	14	22.39840637450199	36	PD
X-024	HSP990	HSP90	single	107.9	21	27	11	19.796954314720814	59	PD
X-024	LEE011	CDK4,CDK6,CDK4/6	single	92.9	21	13.825000000000003	11	23.448275862068964	66	PD
X-024	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	-28.299999999999997	31	-17.058333333333337	39	42	42	SD-->PD
X-024	LJM716	ERBB3	single	93.4	24	20.040000000000006	14	15.453658536585367	42	PD
X-024	everolimus	MTOR	single	-13.299999999999997	27	8.150000000000006	27	122	122	SD-->PD
X-024	untreated	UNKNOWN,Untreated	single	226.60000000000002	20	52.62	13	9.7937106918239	31	PD
X-025	BGJ398	FGFR	single	-38.9	49	-18.35000000000001	49	111	111	SD
X-025	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	-36.3	14	-21.51428571428572	20	20	20	SD
X-025	BYL719	PIK3CA	single	2.799999999999997	37	0.46000000000000796	14	195	218	SD-->PD
X-025	BYL719 + HSP990	PIK3CA,HSP90	combo	-35.099999999999994	19	-5.685714285714283	51	139	139	SD-->-->PD
X-025	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	32.599999999999994	27	21.400000000000006	14	51	51	SD
X-025	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	-30.200000000000003	27	5.071428571428569	51	51	51	SD
X-025	HDM201	MDM2	single	0.29999999999999716	37	7.659999999999997	14	37	37	SD-->PD
X-025	"figitumumab"""	IGF1R	single	26.900000000000006	14	14.340000000000003	14	39.07407407407408	58	SD-->PD
X-025	HSP990	HSP90	single	81.6	33	36.5	14	34.42084942084942	41	PD
X-025	INC280	MET	single	61.400000000000006	30	32.25999999999999	14	34.913907284768214	51	PD
X-025	INC280 + trastuzumab	ERBB2,MET	combo	13.900000000000006	9	11.640000000000015	14	64.75	84	SD-->PD
X-025	LEE011	CDK4,CDK6,CDK4/6	single	0	16	-2	12	156.7003745318352	183	SD-->PD
X-025	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	-18	21	-1.7700000000000102	36	36	36	SD
X-025	LJM716	ERBB3	single	-9.599999999999994	9	-13.260000000000005	14	53.726190476190474	105	SD-->PD
X-025	LJM716 + trastuzumab	ERBB3,ERBB2	combo	-27	9	-9.079999999999998	14	45.58878504672897	51	SD-->PD
X-025	binimetinib	MAP2K1,MAP2K2,MAPK	single	-38.9	27	-25.27777777777777	30	127.30459770114942	139	SD-->PD
X-025	everolimus	MTOR	single	6	12	12.575000000000003	12	119.52290076335878	125	SD-->PD
X-025	trastuzumab	ERBB2	single	92.30000000000001	20	40.67500000000001	12	21.30508474576271	80	PD
X-025	untreated	UNKNOWN,Untreated	single	46.099999999999994	25	18.959999999999994	18	25	165	PD
X-027	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	205.8	20	41.599999999999994	13	11.778149386845039	27	PD
X-027	BYL719	PIK3CA	single	-78.2	145	-56.28	153	153	153	PR
X-027	BYL719 + HSP990	PIK3CA,HSP90	combo	-64.6	20	-36.15555555555555	27	27	27	PR
X-027	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	-27.200000000000003	10	-4.599999999999994	17	35	35	SD-->PD
X-027	HDM201	MDM2	single	13.299999999999997	28	17.400000000000006	14	28	28	SD
X-027	"figitumumab"""	IGF1R	single	14.599999999999994	28	31.333333333333343	28	28	28	PD
X-027	LEE011	CDK4,CDK6,CDK4/6	single	-25.700000000000003	28	-5.1555555555555515	28	28	28	SD
X-027	LJM716	ERBB3	single	-55.4	29	-25.64	50	50	50	PR
X-027	LLM871	FGFR2/4	single	307.3	21	54.5	14	12.89539748953975	24	PD
X-027	trastuzumab	ERBB2	single	-100	77	-82.97	309	309	309	CR
X-028	BGJ398	FGFR	single	119.19999999999999	17	75.72	13	10.588461538461539	17	PD
X-028	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	10.799999999999997	20	1.6400000000000006	13	34	34	SD-->PD
X-028	BYL719	PIK3CA	single	67.4	29	32.099999999999994	11	34.25	84	PD
X-028	BYL719 + HSP990	PIK3CA,HSP90	combo	260.8	20	64.47999999999999	15	8.972649572649573	34	PD
X-028	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	19.5	22	-5.775000000000006	13	35.135802469135804	37	SD-->PD
X-028	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	2.0999999999999943	9	2.640000000000015	14	46.37142857142857	69	SD-->PD
X-028	HDM201	MDM2	single	71.30000000000001	20	-0.1799999999999926	13	28.53233830845771	31	PD
X-028	"figitumumab"""	IGF1R	single	151.4	22	45.51999999999998	15	18.544354838709676	33	PD
X-028	HSP990	HSP90	single	-18.099999999999994	10	-9.560000000000002	13	13	13	SD
X-028	INC280	MET	single	226.89999999999998	22	54.599999999999994	14	12.090634441087612	28	PD
X-028	INC280 + trastuzumab	ERBB2,MET	combo	160.60000000000002	30	54.92500000000001	14	12.217905405405405	30	PD
X-028	LEE011	CDK4,CDK6,CDK4/6	single	82.4	27	19.379999999999995	13	29.114114114114116	31	PD
X-028	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	74.4	17	31.45999999999998	13	17	17	PD
X-028	LJM716	ERBB3	single	146.1	22	60.599999999999994	13	18.383928571428573	29	PD
X-028	LJM716 + trastuzumab	ERBB3,ERBB2	combo	-24.900000000000006	54	-19.549999999999997	13	54	54	SD
X-028	LLM871	FGFR2/4	single	95.30000000000001	20	23.040000000000006	13	15.763848396501459	34	PD
X-028	binimetinib	MAP2K1,MAP2K2,MAPK	single	110.6	20	50.05000000000001	14	18.049079754601227	30	PD
X-028	everolimus	MTOR	single	2.5999999999999943	15	0.09999999999999432	12	33	33	SD-->PD
X-028	trastuzumab	ERBB2	single	75.1	24	13.959999999999994	13	28.655526992287918	31	PD
X-029	BGJ398	FGFR	single	364	11	131.45	11	7.040494938132733	11	PD
X-029	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	266.3	18	57.525000000000006	11	8.94949494949495	18	PD
X-029	BYL719	PIK3CA	single	130	21	18.974999999999994	11	16.527859237536656	29	PD
X-029	BYL719 + HSP990	PIK3CA,HSP90	combo	126.19999999999999	12	57.94999999999999	12	10.12857142857143	12	PD
X-029	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	291.2	15	160.52499999999998	12	5	15	PD
X-029	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	204	12	81.15	12	8.35407537248028	12	PD
X-029	HDM201	MDM2	single	297.9	18	48.474999999999994	11	11.173131504257332	18	PD
X-029	"figitumumab"""	IGF1R	single	351.6	11	144.225	11	5.001314060446781	11	PD
X-029	HSP990	HSP90	single	114.4	9	50.57499999999999	9	7.779661016949152	9	PD
X-029	INC280	MET	single	307.4	12	137.725	12	5.777408637873755	12	PD
X-029	INC280 + trastuzumab	ERBB2,MET	combo	312.1	12	168.27499999999998	12	5	12	PD
X-029	LEE011	CDK4,CDK6,CDK4/6	single	121	20	52.579999999999984	13	18.06451612903226	24	PD
X-029	LJM716 + trastuzumab	ERBB3,ERBB2	combo	302.5	22	51.150000000000006	12	12.427868852459016	33	PD
X-029	LLM871	FGFR2/4	single	347.7	12	186.5	12	5	12	PD
X-029	binimetinib	MAP2K1,MAP2K2,MAPK	single	-6.099999999999994	15	-6.450000000000003	12	33	33	SD-->PD
X-029	everolimus	MTOR	single	167.10000000000002	18	34.30000000000001	11	14.473061760840999	18	PD
X-029	trastuzumab	ERBB2	single	234.8	20	110.66	13	3.613223140495868	24	PD
X-031	BGJ398	FGFR	single	265.3	21	49.93333333333331	12	11.167192429022084	33	PD
X-031	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	8.599999999999994	16	4.375	12	71.25255972696246	95	SD-->PD
X-031	BYL719	PIK3CA	single	-20.400000000000006	16	-10.760000000000005	16	52.56263736263736	77	SD-->PD
X-031	BYL719 + HSP990	PIK3CA,HSP90	combo	178.60000000000002	22	37.775000000000006	13	13.833948339483396	41	PD
X-031	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	-8.299999999999997	55	5.859999999999985	14	63	63	SD
X-031	HDM201	MDM2	single	97.19999999999999	25	15.700000000000003	12	20.848484848484848	64	PD
X-031	"figitumumab"""	IGF1R	single	464.5	23	59.974999999999994	11	9.195071868583163	23	PD
X-031	HSP990	HSP90	single	184.39999999999998	23	27.525000000000006	11	13.575	39	PD
X-031	INC280	MET	single	68.4	27	10.174999999999997	13	38.08428246013668	62	PD
X-031	INC280 + trastuzumab	ERBB2,MET	combo	266.8	14	109.71999999999997	14	6.368421052631579	14	PD
X-031	LEE011	CDK4,CDK6,CDK4/6	single	31.30000000000001	21	17.25	12	43.30386740331492	95	SD-->PD
X-031	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	143.7	23	35.80000000000001	13	12.917981072555204	42	PD
X-031	LJM716	ERBB3	single	-15	26	22.54285714285713	26	8.543822597676874	34	SD
X-031	LJM716 + trastuzumab	ERBB3,ERBB2	combo	194.3	23	55.02000000000001	13	11.26691042047532	23	PD
X-031	LLM871	FGFR2/4	single	137.7	23	35.125	11	14.04564315352697	39	PD
X-031	binimetinib	MAP2K1,MAP2K2,MAPK	single	83.69999999999999	22	15.450000000000003	13	26.65714285714286	68	PD
X-031	everolimus	MTOR	single	24.299999999999997	9	18.700000000000003	13	47.642857142857146	93	SD
X-031	trastuzumab	ERBB2	single	98.9	23	12.075000000000003	11	23.149321266968325	44	PD
X-031	untreated	UNKNOWN,Untreated	single	-1	12	-0.5	12	69.34020618556701	130	SD-->PD
X-034	BGJ398	FGFR	single	42.19999999999999	21	24.799999999999997	11	32	32	PD
X-034	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	12.599999999999994	12	5.275000000000006	12	47.96951219512195	90	SD-->PD
X-034	BYL719	PIK3CA	single	-4.599999999999994	32	2.1857142857142833	21	32	32	SD
X-034	BYL719 + HSP990	PIK3CA,HSP90	combo	-31.099999999999994	37	-15.266666666666666	37	37	37	SD
X-034	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	20.200000000000003	31	15.879999999999995	14	24.817391304347826	35	SD-->PD
X-034	CLR457	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	56.30000000000001	31	45.349999999999994	17	24.416184971098268	35	PD
X-034	HDM201	MDM2	single	60.69999999999999	25	16.049999999999997	11	32	32	PD
X-034	"figitumumab"""	IGF1R	single	15.900000000000006	14	7.400000000000006	11	32	32	SD-->PD
X-034	HSP990	HSP90	single	22.400000000000006	12	7.200000000000003	12	53.76569037656904	91	SD-->PD
X-034	INC280	MET	single	73.9	21	20.97999999999999	14	25.73566878980892	29	PD
X-034	INC280 + trastuzumab	ERBB2,MET	combo	13.700000000000003	22	14.059999999999988	14	35	35	SD-->PD
X-034	LEE011	CDK4,CDK6,CDK4/6	single	3	11	-0.9249999999999972	11	32	32	SD-->PD
X-034	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	-39.4	24	-12.89090909090909	34	34	34	SD
X-034	LJM716	ERBB3	single	62.80000000000001	21	15.379999999999995	14	24.74492099322799	29	PD
X-034	LJM716 + trastuzumab	ERBB3,ERBB2	combo	81.30000000000001	31	23.39999999999999	14	21.931693989071036	35	PD
X-034	LLM871	FGFR2/4	single	104	25	-2.200000000000003	11	19.767741935483873	32	PD
X-034	binimetinib	MAP2K1,MAP2K2,MAPK	single	27.599999999999994	19	19.966666666666654	11	35.58620689655172	37	SD
X-034	everolimus	MTOR	single	-15	28	4.944444444444443	32	266	266	SD-->-->PD
X-034	trastuzumab	ERBB2	single	116.30000000000001	21	10	11	19.23465703971119	32	PD
X-035	BGJ398	FGFR	single	303.1	20	53.31999999999999	13	11.220973782771535	31	PD
X-035	BKM120	PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K	single	-3.9000000000000057	34	3.5200000000000102	13	62	62	SD-->PD
X-035	BYL719	PIK3CA	single	-80.3	69	-46.292857142857144	105	135.33478260869566	156	PR-->-->PD
X-035	BYL719 + HSP990	PIK3CA,HSP90	combo	19.599999999999994	32	37.599999999999994	11	51.417582417582416	63	PD
X-035	BYL719 + LJM716	PIK3CA,ERBB3,ERBB3,PIK3CA	combo	-94.4	63	-64.05555555555556	66	66	66	PR
X-035	HDM201	MDM2	single	96.69999999999999	20	35.079999999999984	13	23.188841201716738	34	PD
X-035	"figitumumab"""	IGF1R	single	294.8	20	63.19999999999999	13	9.275683665927568	24	PD
X-035	HSP990	HSP90	single	2.299999999999997	10	2.200000000000003	14	28	28	SD-->PD
X-035	INC280 + trastuzumab	ERBB2,MET	combo	-100	65	-76.96521739130435	97	97	97	CR
X-035	LEE011	CDK4,CDK6,CDK4/6	single	-100	97	-72.56666666666666	223	320.3333333333333	330	CR-->-->PD
X-035	LEE011 + everolimus	CDK4,CDK6,MTOR,CDK4/6	combo	-100	97	-77.596	97	97	97	CR
X-035	LJM716	ERBB3	single	-15.5	14	13.237499999999997	28	42	42	SD
X-035	LJM716 + trastuzumab	ERBB3,ERBB2	combo	36.80000000000001	31	3.0999999999999943	15	31	31	PD
X-035	LLM871	FGFR2/4	single	114.1	22	31.159999999999997	12	16.498233215547703	33	PD
